sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 22, 2026 10:24:05

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
     +phase_u0:phase_shift_f9db9b463f784e0ead4594b0b8e61d81 	     11(11)	       0(0)	       0(0)	     13(13)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl_16bit:i2c_timing_ctrl_16bit(CLK_FREQ=96000000,I2C_FREQ=50000)	     70(70)	       0(0)	     48(48)	   525(525)	     0(0)	     0(0)	     0(0)	
 +u_Sensor_Image_XYCrop:Sensor_Image_XYCrop(IMAGE_HSIZE_SOURCE=2560,IMAGE_VSIZE_SOURCE=720,IMAGE_HSIZE_TARGET=2560,IMAGE_YSIZE_TARGET=720,PIXEL_DATA_WIDTH=8)	     35(35)	       0(0)	     23(23)	     29(29)	     0(0)	     0(0)	     0(0)	
 +u_axi4_ctrl:axi4_ctrl(C_ID_LEN=4,C_RD_END_ADDR=1843200,C_W_WIDTH=8,C_R_WIDTH=16)	   466(211)	       2(2)	     91(24)	    189(80)	     0(0)	    16(0)	     0(0)	
  +Gen_FIFO_W8.u_W0_FIFO_8:W0_FIFO_8                        	     128(0)	       0(0)	      34(0)	      52(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_e28a7d4c8cc34a9cb9a97c74b3f9b99f(FAMILY="TITANIUM",SYNC_STAGE=3,MODE="FWFT",DEPTH=8192,DATA_WIDTH=8,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROGRAMMABLE_EMPTY="STATIC_SINGLE",PROG_EMPTY_ASSERT=127,PROG_EMPTY_NEGATE=128,ASYM_WIDTH_RATIO=8)	     128(0)	       0(0)	      34(0)	      52(0)	     0(0)	     8(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_e28a7d4c8cc34a9cb9a97c74b3f9b99f(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_e28a7d4c8cc34a9cb9a97c74b3f9b99f(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_e28a7d4c8cc34a9cb9a97c74b3f9b99f(FAMILY="TITANIUM",WR_DEPTH=8192,RDATA_WIDTH=128,WADDR_WIDTH=13,OUTPUT_REG=0,RAM_MUX_RATIO=16)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_e28a7d4c8cc34a9cb9a97c74b3f9b99f(SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",WR_DEPTH=8192,WADDR_WIDTH=13,ASYM_WIDTH_RATIO=8,RAM_MUX_RATIO=16,PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROGRAMMABLE_EMPTY="STATIC_SINGLE",PROG_EMPTY_ASSERT=127,PROG_EMPTY_NEGATE=128,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    124(64)	       0(0)	     34(34)	     52(16)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_e28a7d4c8cc34a9cb9a97c74b3f9b99f(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
